iteration_number,current_solution_objective,global_best_objective,was_worsening_move
324,7733.49,7745.98,True
325,7733.17,7745.98,True
326,7733.05,7745.98,True
327,7736.09,7745.98,False
328,7733.88,7745.98,True
329,7738.65,7745.98,False
330,7740.83,7745.98,False
331,7745.98,7745.98,False
332,7741.75,7745.98,True
333,7738.81,7745.98,True
334,7736.52,7745.98,True
335,7737.54,7745.98,False
336,7733.49,7745.98,True
337,7733.17,7745.98,True
338,7733.05,7745.98,True
339,7736.09,7745.98,False
340,7733.88,7745.98,True
341,7738.65,7745.98,False
342,7740.83,7745.98,False
343,7745.98,7745.98,False
344,7741.75,7745.98,True
345,7738.81,7745.98,True
346,7736.52,7745.98,True
347,7737.54,7745.98,False
348,7733.49,7745.98,True
349,7733.17,7745.98,True
350,7733.05,7745.98,True
351,7736.09,7745.98,False
352,7733.88,7745.98,True
353,7738.65,7745.98,False
354,7740.83,7745.98,False
355,7745.98,7745.98,False
356,7741.75,7745.98,True
357,7738.81,7745.98,True
358,7736.52,7745.98,True
359,7737.54,7745.98,False
360,7733.49,7745.98,True
361,7733.17,7745.98,True
362,7733.05,7745.98,True
363,7736.09,7745.98,False
364,7733.88,7745.98,True
365,7738.65,7745.98,False
366,7740.83,7745.98,False
367,7745.98,7745.98,False
368,7741.75,7745.98,True
369,7738.81,7745.98,True
370,7736.52,7745.98,True
371,7737.54,7745.98,False
372,7733.49,7745.98,True
373,7733.17,7745.98,True
374,7733.05,7745.98,True
375,7736.09,7745.98,False
376,7733.88,7745.98,True
377,7738.65,7745.98,False
378,7740.83,7745.98,False
379,7745.98,7745.98,False
380,7741.75,7745.98,True
381,7738.81,7745.98,True
382,7736.52,7745.98,True
383,7737.54,7745.98,False
384,7733.49,7745.98,True
385,7733.17,7745.98,True
386,7733.05,7745.98,True
387,7736.09,7745.98,False
388,7733.88,7745.98,True
389,7738.65,7745.98,False
390,7740.83,7745.98,False
391,7745.98,7745.98,False
392,7741.75,7745.98,True
393,7738.81,7745.98,True
394,7736.52,7745.98,True
395,7737.54,7745.98,False
396,7733.49,7745.98,True
397,7733.17,7745.98,True
398,7733.05,7745.98,True
399,7736.09,7745.98,False
400,7733.88,7745.98,True
401,7738.65,7745.98,False
402,7740.83,7745.98,False
403,7745.98,7745.98,False
404,7741.75,7745.98,True
405,7738.81,7745.98,True
406,7736.52,7745.98,True
407,7737.54,7745.98,False
408,7733.49,7745.98,True
409,7733.17,7745.98,True
410,7733.05,7745.98,True
411,7736.09,7745.98,False
412,7733.88,7745.98,True
413,7738.65,7745.98,False
414,7740.83,7745.98,False
415,7745.98,7745.98,False
416,7741.75,7745.98,True
417,7738.81,7745.98,True
418,7736.52,7745.98,True
419,7737.54,7745.98,False
420,7733.49,7745.98,True
421,7733.17,7745.98,True
422,7733.05,7745.98,True
423,7736.09,7745.98,False
424,7733.88,7745.98,True
425,7738.65,7745.98,False
426,7740.83,7745.98,False
427,7745.98,7745.98,False
428,7741.75,7745.98,True
429,7738.81,7745.98,True
430,7736.52,7745.98,True
431,7737.54,7745.98,False
432,7733.49,7745.98,True
433,7733.17,7745.98,True
434,7733.05,7745.98,True
435,7736.09,7745.98,False
436,7733.88,7745.98,True
437,7738.65,7745.98,False
438,7740.83,7745.98,False
439,7745.98,7745.98,False
440,7741.75,7745.98,True
441,7738.81,7745.98,True
442,7736.52,7745.98,True
443,7737.54,7745.98,False
444,7733.49,7745.98,True
445,7733.17,7745.98,True
446,7733.05,7745.98,True
447,7736.09,7745.98,False
448,7733.88,7745.98,True
449,7738.65,7745.98,False
450,7740.83,7745.98,False
451,7745.98,7745.98,False
452,7741.75,7745.98,True
453,7738.81,7745.98,True
454,7736.52,7745.98,True
455,7737.54,7745.98,False
456,7733.49,7745.98,True
457,7733.17,7745.98,True
458,7733.05,7745.98,True
459,7736.09,7745.98,False
460,7733.88,7745.98,True
461,7738.65,7745.98,False
462,7740.83,7745.98,False
463,7745.98,7745.98,False
464,7741.75,7745.98,True
465,7738.81,7745.98,True
466,7736.52,7745.98,True
467,7737.54,7745.98,False
468,7733.49,7745.98,True
469,7733.17,7745.98,True
470,7733.05,7745.98,True
471,7736.09,7745.98,False
472,7733.88,7745.98,True
473,7738.65,7745.98,False
474,7740.83,7745.98,False
475,7745.98,7745.98,False
476,7741.75,7745.98,True
477,7738.81,7745.98,True
478,7736.52,7745.98,True
479,7737.54,7745.98,False
480,7733.49,7745.98,True
481,7733.17,7745.98,True
482,7733.05,7745.98,True
483,7736.09,7745.98,False
484,7733.88,7745.98,True
485,7738.65,7745.98,False
486,7740.83,7745.98,False
487,7745.98,7745.98,False
488,7741.75,7745.98,True
489,7738.81,7745.98,True
490,7736.52,7745.98,True
491,7737.54,7745.98,False
492,7733.49,7745.98,True
493,7733.17,7745.98,True
494,7733.05,7745.98,True
495,7736.09,7745.98,False
496,7733.88,7745.98,True
497,7738.65,7745.98,False
498,7740.83,7745.98,False
499,7745.98,7745.98,False
500,7741.75,7745.98,True
501,7738.81,7745.98,True
502,7736.52,7745.98,True
503,7737.54,7745.98,False
504,7733.49,7745.98,True
505,7733.17,7745.98,True
506,7733.05,7745.98,True
507,7736.09,7745.98,False
508,7733.88,7745.98,True
509,7738.65,7745.98,False
510,7740.83,7745.98,False
511,7745.98,7745.98,False
512,7741.75,7745.98,True
513,7738.81,7745.98,True
514,7736.52,7745.98,True
515,7737.54,7745.98,False
516,7733.49,7745.98,True
517,7733.17,7745.98,True
518,7733.05,7745.98,True
519,7736.09,7745.98,False
520,7733.88,7745.98,True
521,7738.65,7745.98,False
522,7740.83,7745.98,False
523,7745.98,7745.98,False
524,7741.75,7745.98,True
525,7738.81,7745.98,True
526,7736.52,7745.98,True
527,7737.54,7745.98,False
528,7733.49,7745.98,True
529,7733.17,7745.98,True
530,7733.05,7745.98,True
531,7736.09,7745.98,False
532,7733.88,7745.98,True
533,7738.65,7745.98,False
534,7740.83,7745.98,False
535,7745.98,7745.98,False
536,7741.75,7745.98,True
537,7738.81,7745.98,True
538,7736.52,7745.98,True
539,7737.54,7745.98,False
540,7733.49,7745.98,True
541,7733.17,7745.98,True
542,7733.05,7745.98,True
543,7736.09,7745.98,False
544,7733.88,7745.98,True
545,7738.65,7745.98,False
546,7740.83,7745.98,False
547,7745.98,7745.98,False
548,7741.75,7745.98,True
549,7738.81,7745.98,True
550,7736.52,7745.98,True
551,7737.54,7745.98,False
552,7733.49,7745.98,True
553,7733.17,7745.98,True
554,7733.05,7745.98,True
555,7736.09,7745.98,False
556,7733.88,7745.98,True
557,7738.65,7745.98,False
558,7740.83,7745.98,False
559,7745.98,7745.98,False
560,7741.75,7745.98,True
561,7738.81,7745.98,True
562,7736.52,7745.98,True
563,7737.54,7745.98,False
564,7733.49,7745.98,True
565,7733.17,7745.98,True
566,7733.05,7745.98,True
567,7736.09,7745.98,False
568,7733.88,7745.98,True
569,7738.65,7745.98,False
570,7740.83,7745.98,False
571,7745.98,7745.98,False
572,7741.75,7745.98,True
573,7738.81,7745.98,True
574,7736.52,7745.98,True
575,7737.54,7745.98,False
576,7733.49,7745.98,True
577,7733.17,7745.98,True
578,7733.05,7745.98,True
579,7736.09,7745.98,False
580,7733.88,7745.98,True
581,7738.65,7745.98,False
582,7740.83,7745.98,False
583,7745.98,7745.98,False
584,7741.75,7745.98,True
585,7738.81,7745.98,True
586,7736.52,7745.98,True
587,7737.54,7745.98,False
588,7733.49,7745.98,True
589,7733.17,7745.98,True
590,7733.05,7745.98,True
591,7736.09,7745.98,False
592,7733.88,7745.98,True
593,7738.65,7745.98,False
594,7740.83,7745.98,False
595,7745.98,7745.98,False
596,7741.75,7745.98,True
597,7738.81,7745.98,True
598,7736.52,7745.98,True
599,7737.54,7745.98,False
600,7733.49,7745.98,True
601,7733.17,7745.98,True
602,7733.05,7745.98,True
603,7736.09,7745.98,False
604,7733.88,7745.98,True
605,7738.65,7745.98,False
606,7740.83,7745.98,False
607,7745.98,7745.98,False
608,7741.75,7745.98,True
609,7738.81,7745.98,True
610,7736.52,7745.98,True
611,7737.54,7745.98,False
612,7733.49,7745.98,True
