group,phase,instance,alpha,tenure,run,seed,of,elapsed_s
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.5,15,0,42,7646.78,10.04
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.5,15,1,43,7618.51,10.031
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.5,15,2,44,7648.01,10.017
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.5,15,0,42,7658.42,10.01
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.5,15,1,43,7682.09,10.043
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.5,15,2,44,7658.21,10.049
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.5,15,0,42,7707.48,10.038
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.5,15,1,43,7619.5,10.044
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.5,15,2,44,7657.16,10.023
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.5,15,0,42,7733.08,10.012
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.5,15,1,43,7723.13,10.014
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.5,15,2,44,7696.77,10.041
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.75,15,0,42,7663.04,10.044
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.75,15,1,43,7648.43,10.028
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.75,15,2,44,7684.11,10.007
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.75,15,0,42,7646.69,10.018
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.75,15,1,43,7649.87,10.049
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.75,15,2,44,7690.92,10.051
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.75,15,0,42,7665.39,10.005
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.75,15,1,43,7675.35,10.028
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.75,15,2,44,7749.3,10.037
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.75,15,0,42,7735.93,10.042
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.75,15,1,43,7690.96,10.02
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.75,15,2,44,7706.48,10.026
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.75,15,0,42,7707.9,10.038
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.75,15,1,43,7720.29,10.009
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.75,15,2,44,7701.16,10.04
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.9,15,0,42,7649.89,10.046
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.9,15,1,43,7756.24,10.01
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.9,15,2,44,7709.91,10.022
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.9,15,0,42,7662.45,10.037
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.9,15,1,43,7755.23,10.019
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.9,15,2,44,7610.7,10.052
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.9,15,0,42,7726.58,10.043
