group,phase,instance,alpha,tenure,avg_of,best_of,worst_of,std_of,avg_time_s,avg_dev_pct
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,20,7696.07,7711.83,7665.67,26.3331,10.022,0.1804
large,tenure_sweep,MDG-a_9_n500_m50.txt,0.9,20,7688.98,7702.47,7667.74,18.6169,10.03,0.1804
large,tenure_sweep,MDG-a_13_n500_m50.txt,0.9,20,7756.92,7780.22,7725.98,27.9141,10.046,0.1804
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,25,7669.16,7756.24,7618.81,75.7228,10.039,0.2875
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,25,7665.57,7703.6,7630.66,36.57,10.047,0.2875
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,25,7674.18,7706.18,7632.38,37.8647,10.022,0.2875
large,tenure_sweep,MDG-a_9_n500_m50.txt,0.9,25,7685.19,7702.47,7656.38,25.1176,10.04,0.2875
large,tenure_sweep,MDG-a_13_n500_m50.txt,0.9,25,7756.92,7780.22,7725.98,27.9141,10.033,0.2875
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,30,7669.16,7756.24,7618.81,75.7228,10.038,0.2803
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,30,7668.18,7711.42,7630.66,40.6834,10.032,0.2803
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,30,7675.88,7707.9,7642.37,32.7902,10.029,0.2803
large,tenure_sweep,MDG-a_9_n500_m50.txt,0.9,30,7683.25,7702.9,7650.13,28.8511,10.017,0.2803
large,tenure_sweep,MDG-a_13_n500_m50.txt,0.9,30,7757.31,7780.22,7725.98,28.0817,10.04,0.2803
