group,instance,alpha,run,seed,of,elapsed_s
large,MDG-a_13_n500_m50.txt,0.75,0,42,7667.14,11.684
large,MDG-a_13_n500_m50.txt,0.75,1,43,7727.06,11.18
large,MDG-a_13_n500_m50.txt,0.75,2,44,7691.95,10.462
large,MDG-a_2_n500_m50.txt,0.9,0,42,7709.01,11.737
large,MDG-a_2_n500_m50.txt,0.9,1,43,7754.9,10.965
large,MDG-a_2_n500_m50.txt,0.9,2,44,7647.4,11.872
large,MDG-a_5_n500_m50.txt,0.9,0,42,7627.32,10.536
large,MDG-a_5_n500_m50.txt,0.9,1,43,7682.51,11.324
large,MDG-a_5_n500_m50.txt,0.9,2,44,7636.44,11.337
large,MDG-a_6_n500_m50.txt,0.9,0,42,7690.85,11.34
large,MDG-a_6_n500_m50.txt,0.9,1,43,7655.41,10.981
large,MDG-a_6_n500_m50.txt,0.9,2,44,7633.02,11.529
large,MDG-a_9_n500_m50.txt,0.9,0,42,7718.59,10.478
large,MDG-a_9_n500_m50.txt,0.9,1,43,7688.18,10.917
large,MDG-a_9_n500_m50.txt,0.9,2,44,7637.7,10.569
large,MDG-a_13_n500_m50.txt,0.9,0,42,7658.31,10.422
large,MDG-a_13_n500_m50.txt,0.9,1,43,7679.36,11.881
large,MDG-a_13_n500_m50.txt,0.9,2,44,7649.82,10.976
large,MDG-a_2_n500_m50.txt,-1,0,42,7675.53,12.027
large,MDG-a_2_n500_m50.txt,-1,1,43,7658.03,10.851
large,MDG-a_2_n500_m50.txt,-1,2,44,7634.5,12.199
large,MDG-a_5_n500_m50.txt,-1,0,42,7718.98,10.583
large,MDG-a_5_n500_m50.txt,-1,1,43,7632.85,10.732
large,MDG-a_5_n500_m50.txt,-1,2,44,7731.54,11.004
large,MDG-a_6_n500_m50.txt,-1,0,42,7707.8,11.164
large,MDG-a_6_n500_m50.txt,-1,1,43,7710.32,10.098
large,MDG-a_6_n500_m50.txt,-1,2,44,7668.7,11.863
large,MDG-a_9_n500_m50.txt,-1,0,42,7695.9,11.711
large,MDG-a_9_n500_m50.txt,-1,1,43,7668.57,11.386
large,MDG-a_9_n500_m50.txt,-1,2,44,7703.27,10.277
large,MDG-a_13_n500_m50.txt,-1,0,42,7694.77,11.058
large,MDG-a_13_n500_m50.txt,-1,1,43,7698.01,11.056
large,MDG-a_13_n500_m50.txt,-1,2,44,7722.3,11.964
