instance,group,algorithm,run,seed,alpha,tabu_tenure,of,elapsed_s
MDG-a_13_n500_m50.txt,large,GRASP+TS,3,45,0.1,10,7746.77,30.01
MDG-a_13_n500_m50.txt,large,GRASP+TS,4,46,0.1,10,7786.43,30.029
MDG-a_16_n500_m50.txt,large,GRASP,0,42,0.1,,7728.43,30.11
MDG-a_16_n500_m50.txt,large,GRASP,1,43,0.1,,7751.97,30.267
MDG-a_16_n500_m50.txt,large,GRASP,2,44,0.1,,7713.12,30.623
MDG-a_16_n500_m50.txt,large,GRASP,3,45,0.1,,7745.9,30.149
MDG-a_16_n500_m50.txt,large,GRASP,4,46,0.1,,7757.5,30.203
MDG-a_16_n500_m50.txt,large,GRASP+TS,0,42,0.1,10,7745.31,30.041
MDG-a_16_n500_m50.txt,large,GRASP+TS,1,43,0.1,10,7722.25,30.036
MDG-a_16_n500_m50.txt,large,GRASP+TS,2,44,0.1,10,7757.37,30.044
MDG-a_16_n500_m50.txt,large,GRASP+TS,3,45,0.1,10,7763.54,30.045
MDG-a_16_n500_m50.txt,large,GRASP+TS,4,46,0.1,10,7792.77,30.04
MDG-a_17_n500_m50.txt,large,GRASP,0,42,0.1,,7692.77,30.716
MDG-a_17_n500_m50.txt,large,GRASP,1,43,0.1,,7756.16,30.651
MDG-a_17_n500_m50.txt,large,GRASP,2,44,0.1,,7716.6,30.509
MDG-a_17_n500_m50.txt,large,GRASP,3,45,0.1,,7751.45,30.327
MDG-a_17_n500_m50.txt,large,GRASP,4,46,0.1,,7698.19,30.293
MDG-a_17_n500_m50.txt,large,GRASP+TS,0,42,0.1,10,7783.28,30.019
MDG-a_17_n500_m50.txt,large,GRASP+TS,1,43,0.1,10,7724.41,30.04
MDG-a_17_n500_m50.txt,large,GRASP+TS,2,44,0.1,10,7785.36,30.042
MDG-a_17_n500_m50.txt,large,GRASP+TS,3,45,0.1,10,7785.36,30.018
MDG-a_17_n500_m50.txt,large,GRASP+TS,4,46,0.1,10,7785.3,30.01
MDG-a_19_n500_m50.txt,large,GRASP,0,42,0.1,,7729.01,30.574
MDG-a_19_n500_m50.txt,large,GRASP,1,43,0.1,,7675.0,30.36
MDG-a_19_n500_m50.txt,large,GRASP,2,44,0.1,,7703.79,30.423
MDG-a_19_n500_m50.txt,large,GRASP,3,45,0.1,,7711.83,30.892
MDG-a_19_n500_m50.txt,large,GRASP,4,46,0.1,,7692.84,30.038
MDG-a_19_n500_m50.txt,large,GRASP+TS,0,42,0.1,10,7755.41,30.014
MDG-a_19_n500_m50.txt,large,GRASP+TS,1,43,0.1,10,7755.41,30.015
MDG-a_19_n500_m50.txt,large,GRASP+TS,2,44,0.1,10,7747.72,30.021
MDG-a_19_n500_m50.txt,large,GRASP+TS,3,45,0.1,10,7741.49,30.016
MDG-a_19_n500_m50.txt,large,GRASP+TS,4,46,0.1,10,7728.04,30.049
MDG-a_20_n500_m50.txt,large,GRASP,0,42,0.1,,7718.59,30.11
MDG-a_20_n500_m50.txt,large,GRASP,1,43,0.1,,7686.64,30.879
MDG-a_20_n500_m50.txt,large,GRASP,2,44,0.1,,7680.04,30.498
MDG-a_20_n500_m50.txt,large,GRASP,3,45,0.1,,7672.84,30.529
MDG-a_20_n500_m50.txt,large,GRASP,4,46,0.1,,7681.94,30.165
MDG-a_20_n500_m50.txt,large,GRASP+TS,0,42,0.1,10,7718.59,30.045
MDG-a_20_n500_m50.txt,large,GRASP+TS,1,43,0.1,10,7683.26,30.047
MDG-a_20_n500_m50.txt,large,GRASP+TS,2,44,0.1,10,7721.0,30.013
MDG-a_20_n500_m50.txt,large,GRASP+TS,3,45,0.1,10,7727.13,30.037
MDG-a_20_n500_m50.txt,large,GRASP+TS,4,46,0.1,10,7711.68,30.013
